fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,cat_payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,birth_distinct_emails_4w,cat_employment_status,credit_risk_score,binary_email_is_free,cat_housing_status,binary_phone_home_valid,binary_phone_mobile_valid,bank_months_count,binary_has_other_cards,proposed_credit_limit,binary_foreign_request,cat_source,session_length_in_minutes,cat_device_os,binary_keep_alive_session,device_distinct_emails_8w,month
1,0.2,0.994110084481663,-1,82,30,0.0154504702357889,0.122307380673117,AC,667,6159.55687262629,4419.66199343477,5693.82551259473,1,12,CA,138,0,BA,0,1,-1,0,200,0,INTERNET,7.16398342904583,windows,0,1,2
1,0.7,0.84965364320895,-1,54,50,0.0301834708081868,-1.21446117958396,AC,592,8631.84437719312,5803.38914653041,5588.75970697948,1,3,CA,284,0,BA,0,0,-1,0,1000,0,INTERNET,6.84719589238762,windows,0,1,2
1,0.7,0.0546382109472594,-1,271,50,0.0051737993892278,-0.622837889088645,AB,864,1094.31168242353,3691.8545432186,3835.32034458372,14,5,CA,293,1,BA,0,1,30,0,1500,0,INTERNET,3.19575671307967,windows,1,1,6
1,0.9,0.347473937525041,-1,39,40,0.010247618983918,-0.564393610216676,AB,1527,2770.95215948785,2868.79229052811,3024.91408414872,2,5,CA,201,0,BA,1,1,25,0,1500,0,INTERNET,1.98044003784326,windows,1,1,7
1,0.9,0.602036934724723,-1,189,50,0.000968331738670663,-0.373614472800344,AB,1651,4727.56846509549,5816.95843557263,4765.57262456141,1,3,CA,220,1,BA,0,1,-1,1,1500,0,INTERNET,6.01508087405426,other,0,1,3
1,0.9,0.0836520197197013,-1,16,30,0.0155652862427597,-0.797171805780646,AB,1408,4779.42531736099,4258.83741886327,4300.90662057391,9,9,CA,267,1,BA,0,1,1,0,1500,0,INTERNET,7.34628515933313,linux,0,1,4
1,0.7,0.0332496238495334,-1,75,30,0.00721991675176035,-1.5305947267024,AB,718,3124.81979321732,2999.91502932055,3111.2996394018,0,10,CA,186,1,BA,0,1,4,0,500,0,INTERNET,2.02152948652584,windows,0,1,7
1,0.7,0.59754551213556,-1,119,20,0.00960845932229254,-1.35065390407899,AC,2301,3284.89458281696,5934.74588731185,5311.95586872832,1,14,CA,80,0,BE,0,1,-1,0,200,0,INTERNET,5.34868494550844,macintosh,0,1,1
1,0.9,0.757613392536961,-1,172,40,0.00588460606188107,-1.33704743582407,AC,678,4078.69459841687,2776.82866632928,4299.33948446127,0,8,CA,239,1,BA,1,1,-1,1,1500,0,INTERNET,5.12789957866242,other,0,1,6
1,0.2,0.123604281843113,-1,162,60,0.723406217344537,-1.20673919462768,AC,2657,6039.14978443249,4965.31038315458,4606.43851513266,0,1,CC,113,1,BB,0,1,-1,0,200,0,INTERNET,27.9231779723691,windows,1,1,3
1,0.9,0.542023022168554,-1,86,50,0.0104078331097275,49.9591500762121,AA,4492,5252.15319517203,5315.10497557735,5036.57143680304,9,2,CB,76,0,BA,1,1,6,0,200,0,INTERNET,58.7845815305013,windows,0,1,2
1,0.8,0.257561005310666,-1,139,50,0.0339903357665631,-0.828461633257006,AB,3545,4935.49642546459,5913.8093650344,5548.68805485657,1,5,CA,156,0,BB,1,1,15,0,500,0,INTERNET,3.33553511206123,windows,0,1,2
1,0.9,0.179786029111158,-1,54,30,0.00439994837188091,-0.979905249184753,AC,1551,5604.03045527042,5124.39642042228,4854.41443055943,1,10,CA,168,0,BA,0,1,-1,0,500,0,INTERNET,15.9295420358811,windows,0,1,4
1,0.9,0.296332384377552,-1,59,50,0.0268003453382782,-1.70906776234317,AB,1156,5558.58623995368,2928.57991898629,4846.98385456941,1,2,CA,361,1,BA,0,1,1,0,1500,0,INTERNET,6.0977702748493,windows,1,1,3
1,0.9,0.251423159593509,34,7,50,0.00884713019566327,-1.19803850571724,AD,949,7367.05373850411,7083.40617443794,6334.42796885582,0,22,CA,191,0,BA,0,1,28,0,1500,0,INTERNET,1.05993393672625,windows,0,1,4
1,0.9,0.730626968006401,-1,109,50,0.00362547669632999,-0.4406588313941,AC,865,9319.01036796469,5706.6392712138,5655.19086599986,1,3,CC,136,1,BB,0,1,-1,0,1000,0,INTERNET,5.79013357827189,windows,0,1,2
1,0.9,0.495299258422303,-1,171,60,3.76772301616972,-0.427038826059663,AC,829,1198.52844692128,3407.28618331146,3129.41463645541,0,3,CC,193,1,BA,0,1,-1,0,200,0,INTERNET,1.46647350971371,windows,1,1,7
1,0.9,0.0728428857652687,-1,212,50,3.72881134411531,-0.95639670282703,AB,725,2762.65821406755,2337.18185065606,3061.88278364012,2,1,CA,332,1,BA,0,1,28,0,1500,0,INTERNET,18.7752713349502,windows,0,0,7
1,0.9,0.601853629123742,-1,102,50,0.0140881742145698,-0.740966792949445,AC,578,5296.66028309953,3875.68512838212,5969.11871580068,0,1,CB,237,0,BA,0,1,-1,0,990,1,INTERNET,12.1759714123447,windows,0,1,0
1,0.4,0.522886988295973,-1,115,50,0.0166751849232804,-1.27766159031708,AD,1704,7574.00060436896,5401.98624697911,5194.68628398569,0,1,CA,43,1,BB,0,1,-1,0,200,0,INTERNET,4.87116764319543,other,0,1,3
1,0.9,0.395653337072776,-1,62,70,0.0141452510780952,-1.24913990509653,AC,1533,6964.05446937463,5841.14750364894,5111.4601071282,1,1,CC,168,1,BB,1,0,-1,0,500,0,INTERNET,20.873959010161,windows,0,1,3
1,0.9,0.180417465705557,-1,281,80,0.0066719158886894,-1.032573664973,AC,973,3697.30609781179,2624.44974101907,3543.06901615503,1,2,CA,290,1,BA,1,1,-1,1,1000,0,TELEAPP,-1,other,0,0,6
1,0.8,0.223000616001185,-1,58,60,0.499864988204412,-1.55414978295781,AC,1482,5786.1624914768,3440.28163370725,4191.85076449975,0,2,CA,71,1,BD,0,1,-1,0,200,0,INTERNET,13.3788717187965,linux,0,1,6
1,0.9,0.736343311911273,114,0,30,0.020460692337902,-0.553241118634584,AB,1132,1862.96389001857,3556.40986649795,3771.89755213551,12,3,CA,133,1,BB,0,1,-1,0,200,0,INTERNET,5.21991211280292,other,1,1,6
1,0.8,0.840672224104033,-1,67,60,0.025718075655882,-0.631211424439985,AB,1370,1859.65852399446,6802.76272692845,5398.2454856353,20,2,CB,102,0,BB,0,0,31,0,200,0,INTERNET,4.95212912247866,windows,0,1,2
1,0.9,0.0732725168845731,-1,142,50,0.0181051508910438,-0.803150555563466,AC,596,2083.76258099575,4739.39263517873,4967.79865143878,1,7,CA,263,0,BA,0,0,-1,0,1500,0,INTERNET,1.20720174518215,windows,0,1,3
1,0.9,0.792369750984742,-1,37,60,0.00394008475449028,32.0827720194813,AA,1842,3569.20659722005,8353.83442585564,4949.54710006007,1200,4,CA,214,0,BC,0,1,1,1,1500,0,INTERNET,18.0782291930811,windows,1,1,3
1,0.9,0.524529501765225,-1,17,30,0.0230364201985681,-1.55640541003839,AB,1077,3503.50085203439,3514.73336026102,4324.96761912238,13,8,CB,238,1,BA,0,1,28,0,1000,0,INTERNET,4.79871427816356,macintosh,0,2,4
1,0.9,0.177449557684334,-1,58,30,0.00193300513402647,-1.19411947637253,AB,3286,3682.80657442145,2023.07804449798,3515.76166270745,2,16,CA,211,1,BC,1,1,30,0,1000,1,INTERNET,5.2298956593156,windows,1,1,6
1,0.9,0.873195825932144,-1,103,40,0.0209579566965424,-0.844040525717066,AC,2428,1926.91947886754,6389.34242168215,5126.63221432038,0,3,CC,192,0,BA,1,0,-1,0,500,0,INTERNET,1.24904199231298,windows,0,0,3
1,0.9,0.0779568635087289,-1,37,50,11.9822905392157,19.6949861329616,AA,1068,6096.9458256533,4505.13322059974,5460.90839486208,17,12,CD,34,1,BC,1,1,11,0,200,0,INTERNET,5.01746361662974,windows,0,1,2
1,0.8,0.149898854116475,-1,62,20,0.0258076269799567,-0.844073225384308,AB,2624,4266.30903428274,5253.17817403474,4217.16486455579,1727,13,CA,106,1,BB,0,1,1,0,200,0,INTERNET,5.62467484937715,windows,0,1,5
1,0.3,0.270737082843507,-1,83,40,0.00481114293064544,-0.840520111815628,AC,2872,871.633675815943,2731.97139890004,4357.49425168256,1,7,CA,262,0,BB,0,1,1,0,1500,0,INTERNET,27.6719277567311,windows,0,1,4
1,0.5,0.100511668132145,-1,255,30,0.0282628084013837,-1.61395301427909,AB,1230,2296.94628149857,2413.58943271744,5005.46093388483,12,1,CA,249,1,BB,0,1,31,0,2000,0,INTERNET,12.135091285562,windows,0,1,3
1,0.9,0.48126337636664,-1,165,60,0.0137658832711681,-1.07237217727357,AC,2574,7816.87620816475,5668.27293227039,6791.95260127286,1,6,CB,193,0,BA,1,1,-1,1,500,0,INTERNET,5.72501882286997,windows,1,1,0
1,0.2,0.0470392503756808,-1,80,60,0.00306332788533112,-1.56236732812134,AC,2738,2551.31719455391,6040.64693565129,5136.24593722909,2,3,CA,106,0,BC,0,1,-1,0,200,0,TELEAPP,3.5072482216085,windows,0,1,3
1,0.7,0.738651395124993,-1,37,40,0.0219760997980805,-0.714762346451177,AB,1376,1573.13767990951,2984.26567619126,3905.92463361978,3,8,CA,270,0,BA,0,1,25,0,200,0,INTERNET,2.70344180954377,windows,1,1,6
1,0.9,0.164109416223661,-1,44,50,0.0291695646670564,-0.779976352937565,AB,2390,6167.90457043315,5100.36989602098,4868.36569471264,18,8,CA,78,1,BA,1,0,31,0,200,0,INTERNET,1.97084968210359,windows,0,1,4
1,0.9,0.834944865974899,-1,107,50,0.00137342112798398,-0.180839109227804,AC,3531,6902.89897242485,5806.8375861081,4781.38729116397,0,6,CA,316,1,BA,0,0,-1,0,2000,0,INTERNET,1.0752700170604,windows,0,1,4
1,0.1,0.0501092960652949,-1,80,50,0.0110312977554881,-0.428284864921886,AC,1675,9161.7572626506,5082.27695677709,5164.27340499686,0,9,CA,203,0,BA,0,1,-1,0,1000,0,INTERNET,10.6883559601165,windows,0,1,3
1,0.9,0.105751823181178,-1,112,40,0.0431568642043885,-1.71374258207769,AB,474,5891.04564502421,4380.97902222177,5173.47485374877,1,3,CA,266,0,BA,0,1,-1,1,2000,0,INTERNET,15.3980722652722,other,0,1,2
1,0.9,0.746975982596209,-1,55,70,0.00468605134417856,101.440956148219,AA,1140,2441.99661718011,4113.23246854943,4359.78935237686,2185,4,CA,260,1,BA,1,1,10,1,1500,0,INTERNET,9.61329756808394,linux,0,1,3
1,0.9,0.595440911510169,-1,254,50,0.0201068830417144,90.6722586678381,AA,1685,7159.80635647044,4841.34147959353,5086.03132605881,3,4,CA,292,1,BA,1,1,25,0,1500,0,INTERNET,1.39735892963462,windows,1,1,3
1,0.9,0.189274118700174,-1,157,50,0.000522335074483699,-0.737115897249983,AC,3212,3053.22434790779,5848.29303339689,4949.60207337618,0,5,CA,273,1,BA,0,0,-1,0,2000,0,INTERNET,1.57670532560879,windows,0,1,3
1,0.3,0.653386524791198,-1,102,60,0.00612354499731083,25.8072824897663,AA,728,2321.35530104304,5952.64906626103,4299.31338483976,1,3,CC,139,1,BA,0,1,11,0,500,0,INTERNET,1.21339079926671,windows,0,1,3
1,0.9,0.778320312609921,-1,45,50,0.00859742235337781,-1.30736640283992,AD,1678,2029.9822764334,5484.9499425842,4259.14461496435,8,11,CA,127,1,BC,1,1,1,0,200,0,INTERNET,7.00050767462887,windows,0,1,4
